fileNames,language,imports,numImages
bda859a14ff1a6fba82f0c98b7b8a884ca472377.ipynb,python3,"["" pandas"", "" matplotlib.pyplot"", "" seaborn"", "" re"", "" numpy"", ""matplotlib.dates DateFormatter"", "" matplotlib.dates"", "" datetime"", ""subprocess call""]",20
a9e888591d16018e17f4ca01f3b2765e1877fa6a.ipynb,python3,"["" numpy"", "" pandas"", "" matplotlib.pyplot"", "" seaborn"", ""subprocess call""]",14
0cc5b3e106d5292a78a755e88fca89b4cc69e1c0.ipynb,python3,"[""tensorflow.examples.tutorials.mnist input_data"", ""keras.utils to_categorical"", ""keras models"", ""keras layers"", ""keras optimizers"", "" matplotlib.pyplot"", "" numpy"", ""sklearn.metrics classification_report"", ""sklearn.metrics confusion_matrix"", ""random sample""]",7
855442e63fe803c55594eb09cf152ffd3ddd0af5.ipynb,python3,"["" torch"", "" numpy"", ""torchvision datasets"", "" torchvision.transforms"", ""torch.utils.data.sampler SubsetRandomSampler"", "" matplotlib.pyplot"", "" torch.nn"", "" torch.nn.functional"", "" helpers""]",8
aa0f711045cf7274d1f34cc626661dbf4943a6de.ipynb,python3,"["" numpy"", "" tensorflow"", "" matplotlib.pyplot"", "" tensorflow""]",2
621170afb187d9c4c31abc34ecabceb8dfefa565.ipynb,python3,"["" numpy"", "" pandas"", "" seaborn"", "" matplotlib.pyplot"", ""mpl_toolkits.mplot3d Axes3D""]",2
948e8f4e848817aa1ff977a50308f838103ede9a.ipynb,python3,"["" numpy"", "" torch"", "" helper"", "" matplotlib.pyplot"", ""torchvision datasets"", ""torchvision transforms"", ""torch nn"", "" torch.nn.functional"", ""collections OrderedDict""]",3
f9a303091c2b207153be09476f39eeac7cfbde9f.ipynb,python3,"["" pandas"", ""analytics balance_smote"", ""analytics test_classification"", "" seaborn"", ""matplotlib.font_manager FontProperties""]",1
98a3e99e0fa523d8fde1941b9326e81a0b359e59.ipynb,python3,"["" matplotlib.pyplot"", "" convolution"", ""ipywidgets interact"", ""ipywidgets IntSlider"", "" scipy"", "" scipy.misc"", ""skimage data"", "" numpy"", ""scipy.ndimage convolve"", "" cv2"", "" math"", "" sys"", "" scipy.stats""]",17
0279788de7c1e06d81b26aafac534d21f839bc63.ipynb,python3,"["" yfinance"", "" matplotlib.pyplot"", "" matplotlib.patches"", "" numpy"", "" pandas"", "" numpy"", "" requests""]",3
