,Validation_Set,topics,alpha,beta,coherence
400,100% Corpus,6,0.61,0.01,0.7465588411131915
401,100% Corpus,6,0.61,0.31,0.7880930548443515
402,100% Corpus,6,0.61,0.61,0.7885821110544254
403,100% Corpus,6,0.61,0.9099999999999999,0.7911232475459973
404,100% Corpus,6,0.61,symmetric,0.7857389143514911
405,100% Corpus,6,0.9099999999999999,0.01,0.7167965663405099
406,100% Corpus,6,0.9099999999999999,0.31,0.7900072865324823
407,100% Corpus,6,0.9099999999999999,0.61,0.7927346943117329
408,100% Corpus,6,0.9099999999999999,0.9099999999999999,0.7910403223130588
409,100% Corpus,6,0.9099999999999999,symmetric,0.7885445196169946
410,100% Corpus,6,symmetric,0.01,0.7368445317877678
411,100% Corpus,6,symmetric,0.31,0.7881848285683039
412,100% Corpus,6,symmetric,0.61,0.7641297473127082
413,100% Corpus,6,symmetric,0.9099999999999999,0.7839815293051723
414,100% Corpus,6,symmetric,symmetric,0.789776974894925
415,100% Corpus,6,asymmetric,0.01,0.5055775698892847
416,100% Corpus,6,asymmetric,0.31,0.7807766028301463
417,100% Corpus,6,asymmetric,0.61,0.7822134629635199
418,100% Corpus,6,asymmetric,0.9099999999999999,0.7797166131612553
419,100% Corpus,6,asymmetric,symmetric,0.7698602953516746
420,100% Corpus,7,0.01,0.01,0.7485723676261206
421,100% Corpus,7,0.01,0.31,0.7875135380354882
422,100% Corpus,7,0.01,0.61,0.7868478786801393
423,100% Corpus,7,0.01,0.9099999999999999,0.7881277452093015
424,100% Corpus,7,0.01,symmetric,0.7444091848344223
425,100% Corpus,7,0.31,0.01,0.7076920189429262
426,100% Corpus,7,0.31,0.31,0.7841379539598832
427,100% Corpus,7,0.31,0.61,0.7854690808127373
428,100% Corpus,7,0.31,0.9099999999999999,0.7846786765939644
429,100% Corpus,7,0.31,symmetric,0.7879212014188027
430,100% Corpus,7,0.61,0.01,0.7413165442857623
431,100% Corpus,7,0.61,0.31,0.7882075558296018
432,100% Corpus,7,0.61,0.61,0.7852538564415266
433,100% Corpus,7,0.61,0.9099999999999999,0.785084007463818
434,100% Corpus,7,0.61,symmetric,0.7870782192455491
435,100% Corpus,7,0.9099999999999999,0.01,0.7373997852995062
436,100% Corpus,7,0.9099999999999999,0.31,0.7900454298100554
437,100% Corpus,7,0.9099999999999999,0.61,0.7869328702721213
438,100% Corpus,7,0.9099999999999999,0.9099999999999999,0.7886900846837657
439,100% Corpus,7,0.9099999999999999,symmetric,0.7867134383339637
440,100% Corpus,7,symmetric,0.01,0.738085195710332
441,100% Corpus,7,symmetric,0.31,0.7855432970104081
442,100% Corpus,7,symmetric,0.61,0.7843159098498766
443,100% Corpus,7,symmetric,0.9099999999999999,0.7867058564089887
444,100% Corpus,7,symmetric,symmetric,0.7884672357506389
445,100% Corpus,7,asymmetric,0.01,0.49382892904870257
446,100% Corpus,7,asymmetric,0.31,0.7789188862326467
447,100% Corpus,7,asymmetric,0.61,0.7772204553714729
448,100% Corpus,7,asymmetric,0.9099999999999999,0.7791117008986623
449,100% Corpus,7,asymmetric,symmetric,0.7350076733493482
450,100% Corpus,8,0.01,0.01,0.6643799922863515
451,100% Corpus,8,0.01,0.31,0.7861893828838338
452,100% Corpus,8,0.01,0.61,0.7821933122075849
453,100% Corpus,8,0.01,0.9099999999999999,0.7829513956580697
454,100% Corpus,8,0.01,symmetric,0.7149791642498109
455,100% Corpus,8,0.31,0.01,0.7239097102676354
456,100% Corpus,8,0.31,0.31,0.7820014891637976
457,100% Corpus,8,0.31,0.61,0.7813847460061718
